subject_id,trial,sentence,condition,target_object,first_saccade_chosen_object,first_saccade_latency_s,chose_target
subject-11,34,The woman will open the bottle,restrictive,bottle,bottle,1.2273,True
subject-11,35,The businessman will wear the hat,restrictive,hat,magnifying-glass,0.837,False
subject-11,36,The boy will move the cake,non-restrictive,cake,elsewhere,1.0775,False
subject-11,37,The baby will ring the bell,restrictive,bell,,,False
subject-11,38,The girl will apply the mascara,restrictive,mascara,mascara,1.0566,True
subject-11,39,The boy will unzip the suitcase,restrictive,suitcase,suitcase,0.7532,True
subject-11,40,The boy will tie the shoelace,restrictive,shoelace,shoelace,0.7319,True
subject-11,41,The woman will carry the apron,non-restrictive,apron,elsewhere,1.1018,False
subject-11,42,The boy will move the radio,non-restrictive,radio,,,False
subject-11,43,The man will watch the boat,non-restrictive,boat,subject,0.5139,False
subject-11,44,The chef will grate the carrot,restrictive,carrot,carrot,0.7199,True
subject-11,45,The man will lick the stamp,restrictive,stamp,rubberband,0.2993,False
subject-11,46,The man will paint the canvas,restrictive,canvas,canvas,0.6084,True
subject-11,47,The girl will vacuum the carpet,restrictive,carpet,subject,0.4022,False
subject-11,48,The man will smoke the cigarettes,restrictive,cigarettes,elsewhere,0.9082,False
subject-11,49,The cat will push the milk,non-restrictive,milk,milk,1.0047,True
subject-12,0,The woman will touch the baby,non-restrictive,baby,baby,1.035,True
subject-12,1,The woman will examine the bottle,non-restrictive,bottle,elsewhere,0.3812,False
subject-12,2,The girl will zip the coat,restrictive,coat,subject,0.7302,False
subject-12,3,The girl will hold the scarf,non-restrictive,scarf,card,1.1945,False
subject-12,4,The boy will touch the lamp,non-restrictive,lamp,elsewhere,0.6715,False
subject-12,5,The cat will drink the milk,restrictive,milk,milk,0.7732,True
subject-12,6,The musician will tune the violin,restrictive,violin,elsewhere,0.311,False
subject-12,7,The doctor will check the child,non-restrictive,child,child,0.9258,True
subject-12,8,The baker will knead the dough,restrictive,dough,elsewhere,0.0837,False
subject-12,9,The boy will kick the football,restrictive,football,feather,0.6743,False
subject-12,10,The girl will groom the rabbit,restrictive,rabbit,rabbit,0.9066,True
subject-12,11,The kid will build the lego,restrictive,lego,subject,0.6024,False
subject-12,12,The girl will button the blouse,restrictive,blouse,blouse,0.8319,True
subject-12,13,The woman will move the flower,non-restrictive,flower,elsewhere,0.0289,False
subject-12,14,The boy will move the banana,non-restrictive,banana,subject,0.3877,False
subject-12,15,The man will move the canvas,non-restrictive,canvas,subject,0.2777,False
subject-12,16,The girl will move the carpet,non-restrictive,carpet,subject,0.4337,False
subject-12,17,The boy will move the shoelace,non-restrictive,shoelace,elsewhere,0.8975,False
subject-12,18,The man will sail the boat,restrictive,boat,boat,0.7265,True
subject-12,19,The boy will bounce the ball,restrictive,ball,subject,0.3281,False
subject-12,20,The girl will roll the dice,restrictive,dice,subject,0.0604,False
subject-12,21,The chef will clean the bread,non-restrictive,bread,subject,0.0326,False
subject-12,22,The woman will brew the beer,restrictive,beer,elsewhere,0.0156,False
subject-12,23,The housewife will fry the mushrooms,restrictive,mushrooms,subject,0.0855,False
subject-12,24,The girl will squeeze the mascara,non-restrictive,mascara,elsewhere,0.7527,False
subject-12,25,The businessman will  forget the hat,non-restrictive,hat,elsewhere,1.1308,False
subject-12,26,The boy will open the suitcase,non-restrictive,suitcase,elsewhere,0.9731,False
subject-12,27,The man will pick up the stamp,non-restrictive,stamp,envelope,1.3052,False
subject-12,28,The baby will kick the bell,non-restrictive,bell,bell,0.1546,True
subject-12,29,The policeman will arrest the man,restrictive,man,subject,0.0396,False
subject-12,30,The man will repair the washing machine,restrictive,washing-machine,elsewhere,0.5572,False
subject-12,31,The boy will eat the cake,restrictive,cake,,,False
subject-12,32,The man will  collect the cigarettes,non-restrictive,cigarettes,elsewhere,1.2308,False
subject-12,33,The woman will sew the shirt,restrictive,shirt,subject,0.4766,False
subject-12,34,The woman will blow out the candle,restrictive,candle,elsewhere,0.8919,False
subject-12,35,The boy will walk the dog,restrictive,dog,ball,0.3227,False
subject-12,36,The woman will try the wine,non-restrictive,wine,subject,1.0605,False
subject-12,37,The child will inflate the balloon,restrictive,balloon,subject,0.6384,False
subject-12,38,The grandmother will eadturn the newspaper,non-restrictive,newspaper,elsewhere,0.7776,False
subject-12,39,The woman will open the book,non-restrictive,book,bag,0.0083,False
subject-12,40,The chef will carry the carrot,non-restrictive,carrot,carrot,1.2173,True
subject-12,41,The man will  move the wood,non-restrictive,wood,subject,0.6325,False
subject-12,43,The woman will tie the apron,restrictive,apron,subject,0.3254,False
subject-12,44,The woman will wear the dress,restrictive,dress,elsewhere,1.0738,False
subject-12,45,The baby will hug the kitten,restrictive,kitten,elsewhere,0.7643,False
subject-12,46,The man will wipe the safe,non-restrictive,safe,elsewhere,0.5074,False
subject-12,47,The hiker will photograph the mountain,non-restrictive,mountain,subject,0.1748,False
subject-12,48,The boy will move the orange,non-restrictive,orange,cone,0.9977,False
subject-12,49,The woman will play the piano,restrictive,piano,subject,1.9524,False
subject-13,0,The baby will ring the bell,restrictive,bell,,,False
subject-13,1,The policeman will search the man,non-restrictive,man,,,False
subject-13,2,The boy will unzip the suitcase,restrictive,suitcase,subject,0.901,False
subject-13,3,The girl will grab the dice,non-restrictive,dice,elsewhere,1.5705,False
subject-13,4,The businessman will wear the hat,restrictive,hat,elsewhere,0.8198,False
subject-13,5,The woman will carry the apron,non-restrictive,apron,elsewhere,0.0499,False
subject-13,6,The boy will tie the shoelace,restrictive,shoelace,subject,0.7453,False
subject-13,7,The girl will knit the scarf,restrictive,scarf,,,False
subject-13,8,The boy will squeeze the orange,restrictive,orange,shell,0.2586,False
subject-13,9,The woman will dust the piano,non-restrictive,piano,piano,0.9734,True
subject-13,10,The man will smoke the cigarettes,restrictive,cigarettes,elsewhere,0.513,False
subject-13,11,The girl will apply the mascara,restrictive,mascara,mascara,1.8734,True
subject-13,12,The woman will wash the shirt,non-restrictive,shirt,apple,0.1758,False
subject-13,13,The girl will lift the rabbit,non-restrictive,rabbit,,,False
subject-13,14,The woman will read the book,restrictive,book,bag,0.1608,False
subject-13,15,The boy will move the cake,non-restrictive,cake,,,False
subject-13,16,The man will lock the safe,restrictive,safe,elsewhere,0.0116,False
subject-13,17,The housewife will  wash the mushrooms,non-restrictive,mushrooms,weighing-scales,0.7436,False
subject-13,18,The boy will peel the banana,restrictive,banana,key,0.5017,False
subject-13,19,The man will chop the wood,restrictive,wood,rope,1.1436,False
subject-13,20,The woman will open the bottle,restrictive,bottle,lemon,0.1237,False
subject-13,21,The musician will move the violin,non-restrictive,violin,violin,0.273,True
subject-13,22,The woman will  carry the dress,non-restrictive,dress,elsewhere,0.8739,False
subject-13,23,The man will watch the boat,non-restrictive,boat,boat,0.2522,True
subject-13,24,The doctor will inject the child,restrictive,child,elsewhere,0.2043,False
subject-13,25,The girl will vacuum the carpet,restrictive,carpet,elsewhere,0.409,False
subject-13,26,The baker will inspect the dough,non-restrictive,dough,,,False
subject-13,27,The cat will push the milk,non-restrictive,milk,,,False
subject-13,28,The boy will feed the dog,non-restrictive,dog,elsewhere,0.2165,False
subject-13,29,The girl will hang the coat,non-restrictive,coat,elsewhere,0.0689,False
subject-13,30,The boy will touch the football,non-restrictive,football,elsewhere,0.2273,False
subject-13,31,The man will wipe the washing machine,non-restrictive,washing-machine,wastebin,0.2372,False
subject-13,32,The chef will slice the bread,restrictive,bread,elsewhere,0.4662,False
subject-13,33,The man will paint the canvas,restrictive,canvas,elsewhere,0.1331,False
subject-13,34,The woman will drink the wine,restrictive,wine,lipstick,0.0154,False
subject-13,35,The chef will grate the carrot,restrictive,carrot,elsewhere,0.0303,False
subject-13,36,The woman will blow grab the candle,non-restrictive,candle,package,0.6312,False
subject-13,37,The grandmother will read the newspaper,restrictive,newspaper,,,False
subject-13,38,The boy will throw the ball,non-restrictive,ball,shuttle-cock,0.4059,False
subject-13,39,The woman will carry the beer,non-restrictive,beer,kettle,0.0778,False
subject-13,40,The girl will hold the blouse,non-restrictive,blouse,blouse,0.1687,True
subject-13,41,The child will carry the balloon,non-restrictive,balloon,elsewhere,1.0071,False
subject-13,42,The woman will bathe the baby,restrictive,baby,baby,0.0811,True
subject-13,43,The kid will stack the lego,non-restrictive,lego,elsewhere,0.3852,False
subject-13,44,The boy will move the radio,non-restrictive,radio,subject,0.0435,False
subject-13,45,The man will lick the stamp,restrictive,stamp,elsewhere,0.1255,False
subject-13,46,The hiker will climb the mountain,restrictive,mountain,mountain,0.8377,True
subject-13,47,The boy will dim the lamp,restrictive,lamp,,,False
subject-13,48,The baby will grab the kitten,non-restrictive,kitten,,,False
subject-13,49,The woman will water the flower,restrictive,flower,vase,0.2521,False
subject-14,0,The boy will open the suitcase,non-restrictive,suitcase,box,1.2616,False
subject-14,1,The chef will carry the carrot,non-restrictive,carrot,subject,0.2794,False
subject-14,2,The policeman will arrest the man,restrictive,man,subject,0.3143,False
subject-14,3,The kid will build the lego,restrictive,lego,subject,0.4682,False
subject-14,4,The man will  collect the cigarettes,non-restrictive,cigarettes,elsewhere,1.1369,False
subject-14,5,The musician will tune the violin,restrictive,violin,bow,0.0898,False
subject-14,6,The cat will drink the milk,restrictive,milk,elsewhere,0.3379,False
subject-14,7,The man will repair the washing machine,restrictive,washing-machine,washing-machine,0.7046,True
subject-14,8,The woman will brew the beer,restrictive,beer,biscuit,0.8662,False
subject-14,9,The woman will examine the bottle,non-restrictive,bottle,elsewhere,0.7031,False
subject-14,10,The man will move the canvas,non-restrictive,canvas,canvas,0.6596,True
subject-14,11,The girl will move the carpet,non-restrictive,carpet,footstool,0.0921,False
subject-14,12,The woman will touch the baby,non-restrictive,baby,stool,0.5992,False
subject-14,13,The child will inflate the balloon,restrictive,balloon,subject,0.5037,False
subject-14,14,The housewife will fry the mushrooms,restrictive,mushrooms,elsewhere,0.1323,False
subject-14,15,The boy will bounce the ball,restrictive,ball,elsewhere,0.8374,False
subject-14,16,The woman will move the flower,non-restrictive,flower,subject,0.5515,False
subject-14,17,The boy will eat the cake,restrictive,cake,cake,0.9761,True
subject-14,18,The boy will move the shoelace,non-restrictive,shoelace,subject,0.576,False
subject-14,19,The boy will move the banana,non-restrictive,banana,subject,1.0709,False
subject-14,20,The woman will wear the dress,restrictive,dress,elsewhere,0.3773,False
subject-14,21,The woman will play the piano,restrictive,piano,table,0.5653,False
subject-14,22,The boy will kick the football,restrictive,football,football,1.2909,True
subject-14,23,The doctor will check the child,non-restrictive,child,,,False
subject-14,24,The girl will groom the rabbit,restrictive,rabbit,rabbit,0.3237,True
subject-14,25,The man will sail the boat,restrictive,boat,boat,0.6526,True
subject-14,26,The chef will clean the bread,non-restrictive,bread,elsewhere,0.8297,False
subject-14,27,The baby will kick the bell,non-restrictive,bell,,,False
subject-14,28,The baby will hug the kitten,restrictive,kitten,cup,0.3824,False
subject-14,29,The girl will roll the dice,restrictive,dice,elsewhere,1.0386,False
subject-14,30,The boy will walk the dog,restrictive,dog,dog,0.9856,True
subject-14,32,The girl will zip the coat,restrictive,coat,poster,1.0383,False
subject-14,33,The hiker will photograph the mountain,non-restrictive,mountain,mountain,1.173,True
subject-14,34,The girl will squeeze the mascara,non-restrictive,mascara,elsewhere,0.6651,False
subject-14,35,The grandmother will eadturn the newspaper,non-restrictive,newspaper,elsewhere,0.4022,False
subject-14,36,The man will  move the wood,non-restrictive,wood,elsewhere,1.1083,False
subject-14,37,The boy will touch the lamp,non-restrictive,lamp,elsewhere,1.1138,False
subject-14,38,The girl will button the blouse,restrictive,blouse,elsewhere,1.6083,False
subject-14,39,The baker will knead the dough,restrictive,dough,dough,0.988,True
subject-14,40,The man will pick up the stamp,non-restrictive,stamp,,,False
subject-14,41,The girl will hold the scarf,non-restrictive,scarf,elsewhere,0.4645,False
subject-14,42,The woman will open the book,non-restrictive,book,elsewhere,0.062,False
subject-14,43,The woman will try the wine,non-restrictive,wine,subject,0.8798,False
subject-14,44,The woman will tie the apron,restrictive,apron,mop,0.4058,False
subject-14,45,The woman will blow out the candle,restrictive,candle,package,0.1354,False
subject-14,46,The man will wipe the safe,non-restrictive,safe,elsewhere,0.5406,False
subject-14,47,The boy will move the orange,non-restrictive,orange,elsewhere,0.1136,False
subject-14,48,The woman will sew the shirt,restrictive,shirt,elsewhere,0.0417,False
subject-14,49,The businessman will  forget the hat,non-restrictive,hat,folder,0.1996,False
subject-15,0,The boy will move the cake,non-restrictive,cake,elsewhere,0.3138,False
subject-15,1,The grandmother will read the newspaper,restrictive,newspaper,elsewhere,0.7958,False
subject-15,2,The kid will stack the lego,non-restrictive,lego,elsewhere,1.115,False
subject-15,3,The man will lock the safe,restrictive,safe,safe,1.1634,True
subject-15,4,The baby will ring the bell,restrictive,bell,bell,0.709,True
subject-15,5,The boy will move the radio,non-restrictive,radio,radio,1.0147,True
subject-15,6,The woman will wash the shirt,non-restrictive,shirt,apple,1.1333,False
subject-15,7,The baker will inspect the dough,non-restrictive,dough,hammer,1.3775,False
subject-15,8,The boy will feed the dog,non-restrictive,dog,elsewhere,0.8793,False
subject-15,9,The child will carry the balloon,non-restrictive,balloon,pouch,1.2556,False
subject-15,10,The chef will grate the carrot,restrictive,carrot,elsewhere,1.2419,False
subject-15,11,The girl will vacuum the carpet,restrictive,carpet,footstool,1.2458,False
subject-15,12,The boy will tie the shoelace,restrictive,shoelace,shoelace,1.0464,True
subject-15,13,The doctor will inject the child,restrictive,child,child,1.0956,True
subject-15,14,The woman will carry the apron,non-restrictive,apron,elsewhere,1.3558,False
subject-15,15,The man will paint the canvas,restrictive,canvas,elsewhere,0.9702,False
subject-15,16,The man will watch the boat,non-restrictive,boat,elsewhere,1.0903,False
subject-15,17,The housewife will  wash the mushrooms,non-restrictive,mushrooms,mushrooms,1.0654,True
subject-15,18,The boy will squeeze the orange,restrictive,orange,orange,1.1023,True
subject-15,19,The man will wipe the washing machine,non-restrictive,washing-machine,mirror,0.9406,False
subject-15,20,The boy will peel the banana,restrictive,banana,elsewhere,1.0787,False
subject-15,21,The hiker will climb the mountain,restrictive,mountain,mountain,0.65,True
subject-15,22,The woman will read the book,restrictive,book,door,0.2214,False
subject-15,23,The man will smoke the cigarettes,restrictive,cigarettes,elsewhere,0.7006,False
subject-15,24,The woman will drink the wine,restrictive,wine,elsewhere,0.893,False
subject-15,25,The woman will blow grab the candle,non-restrictive,candle,elsewhere,1.2942,False
subject-15,26,The boy will unzip the suitcase,restrictive,suitcase,elsewhere,1.4166,False
subject-15,27,The cat will push the milk,non-restrictive,milk,elsewhere,0.9784,False
subject-15,28,The girl will apply the mascara,restrictive,mascara,mascara,1.2173,True
subject-15,29,The boy will dim the lamp,restrictive,lamp,elsewhere,0.9096,False
subject-15,30,The musician will move the violin,non-restrictive,violin,violin,1.0366,True
subject-15,31,The girl will hold the blouse,non-restrictive,blouse,elsewhere,1.214,False
subject-15,32,The woman will carry the beer,non-restrictive,beer,elsewhere,1.2365,False
subject-15,33,The woman will dust the piano,non-restrictive,piano,piano,1.0939,True
subject-15,34,The boy will throw the ball,non-restrictive,ball,elsewhere,0.9148,False
subject-15,35,The woman will  carry the dress,non-restrictive,dress,elsewhere,1.1551,False
subject-15,36,The man will chop the wood,restrictive,wood,wood,1.0079,True
subject-15,37,The woman will open the bottle,restrictive,bottle,seed,1.1482,False
subject-15,38,The chef will slice the bread,restrictive,bread,bread,0.7876,True
subject-15,39,The girl will lift the rabbit,non-restrictive,rabbit,plate,0.1008,False
subject-15,40,The girl will grab the dice,non-restrictive,dice,dice,1.3899,True
subject-15,41,The policeman will search the man,non-restrictive,man,man,0.9973,True
subject-15,42,The girl will knit the scarf,restrictive,scarf,scarf,1.0355,True
subject-15,43,The man will lick the stamp,restrictive,stamp,stamp,0.8888,True
subject-15,44,The girl will hang the coat,non-restrictive,coat,hook,1.2279,False
subject-15,45,The woman will bathe the baby,restrictive,baby,elsewhere,1.0586,False
subject-15,46,The woman will water the flower,restrictive,flower,vase,1.056,False
subject-15,47,The businessman will wear the hat,restrictive,hat,elsewhere,1.1178,False
subject-15,48,The baby will grab the kitten,non-restrictive,kitten,subject,1.1917,False
subject-15,49,The boy will touch the football,non-restrictive,football,football,1.1848,True
subject-16,0,The boy will walk the dog,restrictive,dog,elsewhere,0.7781,False
subject-16,1,The boy will touch the lamp,non-restrictive,lamp,picture,0.3232,False
subject-16,2,The baby will hug the kitten,restrictive,kitten,kitten,0.6977,True
subject-16,3,The baker will knead the dough,restrictive,dough,elsewhere,0.4721,False
subject-16,4,The doctor will check the child,non-restrictive,child,,,False
subject-16,5,The hiker will photograph the mountain,non-restrictive,mountain,elsewhere,0.4024,False
subject-16,6,The housewife will fry the mushrooms,restrictive,mushrooms,mushrooms,0.6346,True
subject-16,7,The kid will build the lego,restrictive,lego,elsewhere,0.6224,False
subject-16,8,The man will pick up the stamp,non-restrictive,stamp,stamp,0.6618,True
subject-16,9,The baby will kick the bell,non-restrictive,bell,elsewhere,0.8117,False
subject-16,10,The boy will move the banana,non-restrictive,banana,mitten,0.5283,False
subject-16,11,The boy will open the suitcase,non-restrictive,suitcase,gift,0.6921,False
subject-16,12,The boy will kick the football,restrictive,football,elsewhere,0.0853,False
subject-16,13,The musician will tune the violin,restrictive,violin,elsewhere,1.0142,False
subject-16,14,The woman will examine the bottle,non-restrictive,bottle,sponge,1.627,False
subject-16,15,The grandmother will eadturn the newspaper,non-restrictive,newspaper,newspaper,0.9852,True
subject-16,16,The girl will groom the rabbit,restrictive,rabbit,elsewhere,0.6856,False
subject-16,17,The girl will squeeze the mascara,non-restrictive,mascara,elsewhere,0.9666,False
