id,image_nosub,image_sub,position1,position2,position3,position4,audio_file,sentence,condition,target_position,timeout
35,36_pos4_nosub.png,36_pos4_sub.png,brush,mirror,pot,mascara,35_n.wav,The girl will squeeze the mascara,non-restrictive,4,3000
36,37_pos1_nosub.png,37_pos1_sub.png,lego,papers,boxes,clips,36_r.wav,The kid will build the lego,restrictive,1,3000
37,38_pos2_nosub.png,38_pos2_sub.png,key,banana,mitten,marker,37_n.wav,The boy will move the banana,non-restrictive,2,3000
38,39_pos3_nosub.png,39_pos3_sub.png,broom,cloth,apron,mop,38_r.wav,The woman will tie the apron,restrictive,3,3000
39,40_pos4_nosub.png,40_pos4_sub.png,shampoo,mat,buckle,shoelace,39_n.wav,The boy will move the shoelace,non-restrictive,4,3000
40,41_pos1_nosub.png,41_pos1_sub.png,blouse,pin,toothbrish,iron,40_r.wav,The girl will button the blouse,restrictive,1,3000
41,42_pos2_nosub.png,42_pos2_sub.png,shell,orange,stone,cone,41_n.wav,The boy will move the orange,non-restrictive,2,3000
42,43_pos3_nosub.png,43_pos3_sub.png,chalk,ruler,shirt,apple,42_r.wav,The woman will sew the shirt,restrictive,3,3000
43,44_pos4_nosub.png,44_pos4_sub.png,pan,bolt,handle,safe,43_n.wav,The man will wipe the safe,non-restrictive,4,3000
44,45_pos1_nosub.png,45_pos1_sub.png,dough,glass,ladle,hammer,44_r.wav,The baker will knead the dough,restrictive,1,3000
45,46_pos2_nosub.png,46_pos2_sub.png,pot,carrot,laddle,peeler,45_n.wav,The chef will carry the carrot,non-restrictive,2,3000
46,47_pos3_nosub.png,47_pos3_sub.png,gum,stand,violin,bow,46_r.wav,The musician will tune the violin,restrictive,3,3000
47,48_pos4_nosub.png,48_pos4_sub.png,dustpan,roller,footstool,carpet,47_n.wav,The girl will move the carpet,non-restrictive,4,3000
48,49_pos1_nosub.png,49_pos1_sub.png,balloon,pump,flag,pouch,48_r.wav,The child will inflate the balloon,restrictive,1,3000
49,50_pos2_nosub.png,50_pos2_sub.png,scissors,stamp,envelope,rubberband,49_n.wav,The man will pick up the stamp,non-restrictive,2,3000
