subject_id,trial,sentence_id,condition,sentence,target_position,n_saccades_detected,n_saccades_after_verb_onset,first_saccade_latency_s,first_saccade_duration_s,first_saccade_peak_vel_deg_s,first_saccade_landing_aoi,first_saccade_is_target,first_saccade_is_object,saccade_prop_pos1,saccade_prop_pos2,saccade_prop_pos3,saccade_prop_pos4,saccade_prop_target,n_saccades_landed_critical_window,target_object,first_saccade_chosen_object
subject-1,46,26,non-restrictive,The woman will blow grab the candle,3,12,1,0.336,0.0205,269.6,elsewhere,False,False,,,,,,1,candle,elsewhere
subject-1,47,41,restrictive,The boy will squeeze the orange,2,9,0,,,,,,,,,,,,0,orange,
subject-1,48,0,non-restrictive,The boy will move the cake,1,14,1,0.006,0.0203,198.7,elsewhere,False,False,,,,,,1,cake,elsewhere
subject-1,49,40,non-restrictive,The girl will hold the blouse,1,11,2,0.0682,0.0403,538.5,pos4,False,True,0.0,0.0,0.0,1.0,0.0,2,blouse,iron
subject-2,0,21,non-restrictive,The woman will move the flower,3,11,0,,,,,,,,,,,,0,flower,
subject-2,1,36,restrictive,The kid will build the lego,2,8,0,,,,,,,,,,,,0,lego,
subject-2,2,5,non-restrictive,The hiker will photograph the mountain,3,11,0,,,,,,,,,,,,0,mountain,
subject-2,3,3,non-restrictive,The woman will touch the baby,1,5,0,,,,,,,,,,,,0,baby,
subject-2,4,41,non-restrictive,The boy will move the orange,3,9,0,,,,,,,,,,,,0,orange,
subject-2,5,46,restrictive,The musician will tune the violin,4,11,0,,,,,,,,,,,,0,violin,
subject-2,6,22,restrictive,The girl will zip the coat,4,6,0,,,,,,,,,,,,0,coat,
subject-2,7,37,non-restrictive,The boy will move the banana,3,12,0,,,,,,,,,,,,0,banana,
subject-2,9,44,restrictive,The baker will knead the dough,2,7,0,,,,,,,,,,,,0,dough,
subject-2,10,9,non-restrictive,The woman will open the book,3,9,0,,,,,,,,,,,,0,book,
subject-2,11,17,non-restrictive,The man will  move the wood,3,14,1,0.0969,0.0201,334.3,elsewhere,False,False,,,,,,1,wood,elsewhere
subject-2,12,40,restrictive,The girl will button the blouse,2,12,1,0.1217,0.0201,107.4,elsewhere,False,False,,,,,,1,blouse,elsewhere
subject-2,13,31,non-restrictive,The woman will examine the bottle,1,8,1,0.6289,0.0138,230.8,elsewhere,False,False,,,,,,1,bottle,elsewhere
subject-2,14,48,restrictive,The child will inflate the balloon,2,8,0,,,,,,,,,,,,0,balloon,
subject-2,15,47,non-restrictive,The girl will move the carpet,1,11,1,0.3469,0.0469,149.3,subject,False,False,,,,,,1,carpet,subject
subject-2,16,23,non-restrictive,The girl will hold the scarf,1,6,0,,,,,,,,,,,,0,scarf,
subject-2,17,11,non-restrictive,The baby will kick the bell,1,10,0,,,,,,,,,,,,0,bell,
subject-2,18,29,non-restrictive,The grandmother will eadturn the newspaper,3,7,0,,,,,,,,,,,,0,newspaper,
subject-2,19,16,restrictive,The woman will wear the dress,2,9,0,,,,,,,,,,,,0,dress,
subject-2,20,13,non-restrictive,The man will  collect the cigarettes,3,9,0,,,,,,,,,,,,0,cigarettes,
subject-2,21,4,restrictive,The boy will bounce the ball,2,8,0,,,,,,,,,,,,0,ball,
subject-2,22,45,non-restrictive,The chef will carry the carrot,3,9,0,,,,,,,,,,,,0,carrot,
subject-2,23,42,restrictive,The woman will sew the shirt,4,10,4,0.0348,0.0201,1496.7,elsewhere,False,False,,,,,,4,shirt,elsewhere
subject-2,24,30,restrictive,The girl will roll the dice,4,6,0,,,,,,,,,,,,0,dice,
subject-2,25,38,restrictive,The woman will tie the apron,4,10,0,,,,,,,,,,,,0,apron,
subject-2,26,49,non-restrictive,The man will pick up the stamp,3,12,1,0.3272,0.0131,67.5,elsewhere,False,False,,,,,,1,stamp,elsewhere
subject-2,27,15,non-restrictive,The businessman will  forget the hat,1,10,0,,,,,,,,,,,,0,hat,
subject-2,28,19,non-restrictive,The chef will clean the bread,1,11,0,,,,,,,,,,,,0,bread,
subject-2,29,10,restrictive,The man will repair the washing machine,4,7,1,1.0931,0.0403,358.3,elsewhere,False,False,,,,,,1,washing-machine,elsewhere
subject-2,30,26,restrictive,The woman will blow out the candle,4,6,1,0.4432,0.0136,258.8,subject,False,False,,,,,,1,candle,subject
subject-2,31,0,restrictive,The boy will eat the cake,2,9,0,,,,,,,,,,,,0,cake,
subject-2,32,2,restrictive,The policeman will arrest the man,4,6,0,,,,,,,,,,,,0,man,
subject-2,33,12,restrictive,The man will sail the boat,2,10,0,,,,,,,,,,,,0,boat,
subject-2,34,28,restrictive,The cat will drink the milk,2,6,0,,,,,,,,,,,,0,milk,
subject-2,35,7,non-restrictive,The doctor will check the child,1,9,0,,,,,,,,,,,,0,child,
subject-2,36,35,non-restrictive,The girl will squeeze the mascara,1,9,0,,,,,,,,,,,,0,mascara,
subject-2,37,24,restrictive,The girl will groom the rabbit,2,10,0,,,,,,,,,,,,0,rabbit,
subject-2,38,25,non-restrictive,The man will move the canvas,3,8,0,,,,,,,,,,,,0,canvas,
subject-2,39,33,non-restrictive,The boy will open the suitcase,3,9,0,,,,,,,,,,,,0,suitcase,
subject-2,40,1,non-restrictive,The woman will try the wine,3,11,0,,,,,,,,,,,,0,wine,
subject-2,41,43,non-restrictive,The man will wipe the safe,1,14,0,,,,,,,,,,,,0,safe,
subject-2,42,32,restrictive,The woman will brew the beer,2,6,0,,,,,,,,,,,,0,beer,
subject-2,43,14,restrictive,The boy will walk the dog,4,8,0,,,,,,,,,,,,0,dog,
subject-2,44,39,non-restrictive,The boy will move the shoelace,1,9,0,,,,,,,,,,,,0,shoelace,
subject-2,45,20,restrictive,The baby will hug the kitten,2,10,1,0.075,0.0134,283.0,subject,False,False,,,,,,1,kitten,subject
subject-2,46,18,restrictive,The boy will kick the football,4,11,0,,,,,,,,,,,,0,football,
subject-2,47,8,restrictive,The woman will play the piano,2,10,0,,,,,,,,,,,,0,piano,
subject-2,48,27,non-restrictive,The boy will touch the lamp,1,13,0,,,,,,,,,,,,0,lamp,
subject-2,49,6,restrictive,The housewife will fry the mushrooms,4,8,0,,,,,,,,,,,,0,mushrooms,
subject-3,0,6,non-restrictive,The housewife will  wash the mushrooms,4,8,0,,,,,,,,,,,,0,mushrooms,
subject-3,1,36,non-restrictive,The kid will stack the lego,2,6,0,,,,,,,,,,,,0,lego,
subject-3,2,10,non-restrictive,The man will wipe the washing machine,4,7,1,0.0566,0.0134,297.0,subject,False,False,,,,,,1,washing-machine,subject
subject-3,3,35,restrictive,The girl will apply the mascara,1,6,0,,,,,,,,,,,,0,mascara,
subject-3,4,41,restrictive,The boy will squeeze the orange,3,7,0,,,,,,,,,,,,0,orange,
subject-3,5,30,non-restrictive,The girl will grab the dice,4,13,0,,,,,,,,,,,,0,dice,
subject-3,6,44,non-restrictive,The baker will inspect the dough,2,6,0,,,,,,,,,,,,0,dough,
subject-3,7,21,restrictive,The woman will water the flower,3,10,1,0.5202,0.0535,899.8,pos3,True,True,0.0,0.0,1.0,0.0,1.0,1,flower,flower
subject-3,8,8,non-restrictive,The woman will dust the piano,2,6,0,,,,,,,,,,,,0,piano,
subject-3,9,17,restrictive,The man will chop the wood,3,5,0,,,,,,,,,,,,0,wood,
subject-3,10,9,restrictive,The woman will read the book,3,7,0,,,,,,,,,,,,0,book,
subject-3,11,15,restrictive,The businessman will wear the hat,1,6,0,,,,,,,,,,,,0,hat,
subject-3,12,20,non-restrictive,The baby will grab the kitten,2,6,0,,,,,,,,,,,,0,kitten,
subject-3,13,0,non-restrictive,The boy will move the cake,2,8,0,,,,,,,,,,,,0,cake,
subject-3,14,40,non-restrictive,The girl will hold the blouse,2,7,0,,,,,,,,,,,,0,blouse,
subject-3,15,34,non-restrictive,The boy will move the radio,4,6,0,,,,,,,,,,,,0,radio,
subject-3,16,24,non-restrictive,The girl will lift the rabbit,2,5,0,,,,,,,,,,,,0,rabbit,
subject-3,17,14,non-restrictive,The boy will feed the dog,4,9,1,0.243,0.0133,108.9,elsewhere,False,False,,,,,,1,dog,elsewhere
subject-3,18,43,restrictive,The man will lock the safe,1,8,0,,,,,,,,,,,,0,safe,
subject-3,19,26,non-restrictive,The woman will blow grab the candle,4,6,0,,,,,,,,,,,,0,candle,
subject-3,20,11,restrictive,The baby will ring the bell,1,5,0,,,,,,,,,,,,0,bell,
subject-3,21,4,non-restrictive,The boy will throw the ball,2,6,0,,,,,,,,,,,,0,ball,
subject-3,22,33,restrictive,The boy will unzip the suitcase,3,3,1,0.646,0.0405,288.8,elsewhere,False,False,,,,,,1,suitcase,elsewhere
subject-3,23,48,non-restrictive,The child will carry the balloon,2,8,0,,,,,,,,,,,,0,balloon,
subject-3,24,47,restrictive,The girl will vacuum the carpet,1,10,0,,,,,,,,,,,,0,carpet,
subject-3,25,2,non-restrictive,The policeman will search the man,4,8,0,,,,,,,,,,,,0,man,
subject-3,26,45,restrictive,The chef will grate the carrot,3,9,0,,,,,,,,,,,,0,carrot,
subject-3,27,31,restrictive,The woman will open the bottle,1,7,0,,,,,,,,,,,,0,bottle,
subject-3,28,12,non-restrictive,The man will watch the boat,2,7,0,,,,,,,,,,,,0,boat,
subject-3,29,19,restrictive,The chef will slice the bread,1,9,0,,,,,,,,,,,,0,bread,
subject-3,30,49,restrictive,The man will lick the stamp,3,6,0,,,,,,,,,,,,0,stamp,
subject-3,31,42,non-restrictive,The woman will wash the shirt,4,7,0,,,,,,,,,,,,0,shirt,
subject-3,32,25,restrictive,The man will paint the canvas,3,3,0,,,,,,,,,,,,0,canvas,
subject-3,33,32,non-restrictive,The woman will carry the beer,2,4,0,,,,,,,,,,,,0,beer,
subject-3,34,7,restrictive,The doctor will inject the child,1,7,0,,,,,,,,,,,,0,child,
subject-3,35,23,restrictive,The girl will knit the scarf,1,5,0,,,,,,,,,,,,0,scarf,
subject-3,36,46,non-restrictive,The musician will move the violin,4,7,0,,,,,,,,,,,,0,violin,
subject-3,37,29,restrictive,The grandmother will read the newspaper,3,6,2,0.0255,0.0402,143.7,elsewhere,False,False,,,,,,2,newspaper,elsewhere
subject-3,38,38,non-restrictive,The woman will carry the apron,4,3,0,,,,,,,,,,,,0,apron,
subject-3,39,3,restrictive,The woman will bathe the baby,1,2,0,,,,,,,,,,,,0,baby,
subject-3,40,28,non-restrictive,The cat will push the milk,2,5,0,,,,,,,,,,,,0,milk,
subject-3,41,1,restrictive,The woman will drink the wine,3,4,0,,,,,,,,,,,,0,wine,
subject-3,42,16,non-restrictive,The woman will  carry the dress,2,5,0,,,,,,,,,,,,0,dress,
subject-3,43,5,restrictive,The hiker will climb the mountain,3,7,0,,,,,,,,,,,,0,mountain,
subject-3,44,13,restrictive,The man will smoke the cigarettes,3,5,0,,,,,,,,,,,,0,cigarettes,
subject-3,45,27,restrictive,The boy will dim the lamp,1,4,0,,,,,,,,,,,,0,lamp,
subject-3,46,18,non-restrictive,The boy will touch the football,4,5,0,,,,,,,,,,,,0,football,
subject-3,47,37,restrictive,The boy will peel the banana,3,4,1,0.1072,0.0537,305.2,subject,False,False,,,,,,1,banana,subject
subject-3,48,39,restrictive,The boy will tie the shoelace,1,5,0,,,,,,,,,,,,0,shoelace,
subject-3,49,22,non-restrictive,The girl will hang the coat,4,8,0,,,,,,,,,,,,0,coat,
subject-4,0,21,non-restrictive,The woman will move the flower,4,10,0,,,,,,,,,,,,0,flower,
subject-4,1,0,restrictive,The boy will eat the cake,3,12,1,0.2326,0.0202,410.9,pos3,True,True,0.0,0.0,0.5,0.5,0.5,2,cake,cake
subject-4,2,9,non-restrictive,The woman will open the book,4,10,3,0.0682,0.0267,307.7,subject,False,False,0.5,0.0,0.5,0.0,0.0,3,book,subject
subject-4,3,33,non-restrictive,The boy will open the suitcase,4,12,0,,,,,,,,,,,,0,suitcase,
subject-4,4,25,non-restrictive,The man will move the canvas,4,13,0,,,,,,,,,,,,0,canvas,
subject-4,5,4,restrictive,The boy will bounce the ball,3,11,2,0.3081,0.0469,487.1,subject,False,False,0.0,0.0,1.0,0.0,1.0,2,ball,subject
subject-4,6,5,non-restrictive,The hiker will photograph the mountain,4,9,0,,,,,,,,,,,,0,mountain,
subject-4,7,39,non-restrictive,The boy will move the shoelace,2,12,0,,,,,,,,,,,,0,shoelace,
subject-4,8,43,non-restrictive,The man will wipe the safe,2,14,0,,,,,,,,,,,,0,safe,
subject-4,9,26,restrictive,The woman will blow out the candle,1,9,0,,,,,,,,,,,,0,candle,
subject-4,11,23,non-restrictive,The girl will hold the scarf,2,9,0,,,,,,,,,,,,0,scarf,
subject-4,12,20,restrictive,The baby will hug the kitten,3,9,0,,,,,,,,,,,,0,kitten,
subject-4,13,37,non-restrictive,The boy will move the banana,4,13,0,,,,,,,,,,,,0,banana,
subject-4,14,19,non-restrictive,The chef will clean the bread,2,10,0,,,,,,,,,,,,0,bread,
subject-4,15,7,non-restrictive,The doctor will check the child,2,10,0,,,,,,,,,,,,0,child,
subject-4,16,28,restrictive,The cat will drink the milk,3,7,0,,,,,,,,,,,,0,milk,
subject-4,17,35,non-restrictive,The girl will squeeze the mascara,2,10,1,0.538,0.0136,325.3,elsewhere,False,False,,,,,,1,mascara,elsewhere
subject-4,18,27,non-restrictive,The boy will touch the lamp,2,11,0,,,,,,,,,,,,0,lamp,
subject-4,19,46,restrictive,The musician will tune the violin,1,13,0,,,,,,,,,,,,0,violin,
subject-4,20,32,restrictive,The woman will brew the beer,3,9,1,0.0894,0.0536,406.3,pos4,False,True,0.0,0.0,0.0,1.0,0.0,1,beer,mug
subject-4,21,36,restrictive,The kid will build the lego,3,8,1,0.1536,0.0333,593.4,elsewhere,False,False,,,,,,1,lego,elsewhere
subject-4,22,22,restrictive,The girl will zip the coat,1,9,0,,,,,,,,,,,,0,coat,
subject-4,23,10,restrictive,The man will repair the washing machine,1,11,2,0.9792,0.0268,351.7,elsewhere,False,False,0.0,1.0,0.0,0.0,0.0,2,washing-machine,elsewhere
subject-4,24,40,restrictive,The girl will button the blouse,3,13,1,0.2159,0.0335,417.6,elsewhere,False,False,,,,,,1,blouse,elsewhere
subject-4,25,48,restrictive,The child will inflate the balloon,3,6,1,0.7313,0.0136,400.2,subject,False,False,,,,,,0,balloon,subject
subject-4,26,15,non-restrictive,The businessman will  forget the hat,2,9,0,,,,,,,,,,,,0,hat,
subject-4,27,44,restrictive,The baker will knead the dough,3,12,0,,,,,,,,,,,,0,dough,
subject-4,28,8,restrictive,The woman will play the piano,3,10,1,0.0436,0.0267,275.7,subject,False,False,,,,,,1,piano,subject
subject-4,29,24,restrictive,The girl will groom the rabbit,3,8,0,,,,,,,,,,,,0,rabbit,
subject-4,30,31,non-restrictive,The woman will examine the bottle,2,11,2,0.2807,0.0201,382.4,subject,False,False,,,,,,2,bottle,subject
subject-4,31,3,non-restrictive,The woman will touch the baby,2,8,0,,,,,,,,,,,,0,baby,
subject-4,32,29,non-restrictive,The grandmother will eadturn the newspaper,4,9,1,0.4225,0.0468,570.0,pos3,False,True,0.0,0.0,1.0,0.0,0.0,1,newspaper,tissue
subject-4,33,1,non-restrictive,The woman will try the wine,4,10,0,,,,,,,,,,,,0,wine,
subject-4,34,38,restrictive,The woman will tie the apron,1,12,0,,,,,,,,,,,,0,apron,
subject-4,35,17,non-restrictive,The man will  move the wood,4,11,0,,,,,,,,,,,,0,wood,
subject-4,36,11,non-restrictive,The baby will kick the bell,2,10,0,,,,,,,,,,,,0,bell,
subject-4,37,16,restrictive,The woman will wear the dress,3,14,1,0.3905,0.0537,502.8,pos3,True,True,0.0,0.0,1.0,0.0,1.0,1,dress,dress
subject-4,38,45,non-restrictive,The chef will carry the carrot,4,10,0,,,,,,,,,,,,0,carrot,
subject-4,39,14,restrictive,The boy will walk the dog,1,12,1,0.3358,0.0537,437.7,elsewhere,False,False,,,,,,1,dog,elsewhere
subject-4,40,6,restrictive,The housewife will fry the mushrooms,1,18,2,0.0253,0.0333,337.3,subject,False,False,0.0,0.0,1.0,0.0,0.0,2,mushrooms,subject
subject-4,41,30,restrictive,The girl will roll the dice,1,14,0,,,,,,,,,,,,0,dice,
subject-4,42,49,non-restrictive,The man will pick up the stamp,4,10,0,,,,,,,,,,,,0,stamp,
subject-4,43,18,restrictive,The boy will kick the football,1,9,0,,,,,,,,,,,,0,football,
subject-4,44,12,restrictive,The man will sail the boat,3,9,0,,,,,,,,,,,,0,boat,
subject-4,45,42,restrictive,The woman will sew the shirt,1,11,1,0.5102,0.0334,274.7,elsewhere,False,False,,,,,,0,shirt,elsewhere
subject-4,46,2,restrictive,The policeman will arrest the man,1,11,2,0.4883,0.0933,346.7,elsewhere,False,False,,,,,,2,man,elsewhere
subject-4,47,41,non-restrictive,The boy will move the orange,4,12,0,,,,,,,,,,,,0,orange,
subject-4,48,47,non-restrictive,The girl will move the carpet,2,10,0,,,,,,,,,,,,0,carpet,
subject-4,49,13,non-restrictive,The man will  collect the cigarettes,4,12,0,,,,,,,,,,,,0,cigarettes,
subject-5,0,21,restrictive,The woman will water the flower,4,21,2,0.152,0.0334,268.4,pos2,False,True,0.0,0.5,0.5,0.0,0.0,2,flower,vase
subject-5,1,14,non-restrictive,The boy will feed the dog,1,18,1,0.0821,0.0402,210.5,pos3,False,True,0.0,0.0,1.0,0.0,0.0,1,dog,ball
subject-5,2,17,restrictive,The man will chop the wood,4,14,1,0.3261,0.0471,289.6,pos2,False,True,0.0,1.0,0.0,0.0,0.0,1,wood,stone
subject-5,3,42,non-restrictive,The woman will wash the shirt,1,14,3,0.1688,0.0532,334.4,elsewhere,False,False,0.5,0.0,0.5,0.0,0.5,3,shirt,elsewhere
subject-5,4,7,restrictive,The doctor will inject the child,2,18,3,0.0503,0.0336,166.6,subject,False,False,1.0,0.0,0.0,0.0,0.0,3,child,subject
subject-5,5,23,restrictive,The girl will knit the scarf,2,9,0,,,,,,,,,,,,0,scarf,
subject-5,6,48,non-restrictive,The child will carry the balloon,3,13,2,0.3771,0.0606,309.2,pos4,False,True,0.0,0.0,0.5,0.5,0.5,2,balloon,pump
subject-5,7,20,non-restrictive,The baby will grab the kitten,3,11,1,0.6693,0.0603,359.8,pos4,False,True,,,,,,0,kitten,block
subject-5,8,5,restrictive,The hiker will climb the mountain,4,9,1,0.4897,0.0132,234.9,elsewhere,False,False,,,,,,1,mountain,elsewhere
subject-5,9,46,non-restrictive,The musician will move the violin,1,12,0,,,,,,,,,,,,0,violin,
subject-5,10,29,restrictive,The grandmother will read the newspaper,4,11,0,,,,,,,,,,,,0,newspaper,
subject-5,11,34,non-restrictive,The boy will move the radio,1,7,0,,,,,,,,,,,,0,radio,
subject-5,12,40,non-restrictive,The girl will hold the blouse,3,11,0,,,,,,,,,,,,0,blouse,
subject-5,13,39,restrictive,The boy will tie the shoelace,2,13,0,,,,,,,,,,,,0,shoelace,
subject-5,14,4,non-restrictive,The boy will throw the ball,3,12,0,,,,,,,,,,,,0,ball,
subject-5,15,3,restrictive,The woman will bathe the baby,2,14,0,,,,,,,,,,,,0,baby,
subject-5,16,36,non-restrictive,The kid will stack the lego,3,12,2,0.4117,0.047,268.2,pos1,False,True,1.0,0.0,0.0,0.0,0.0,1,lego,boxes
subject-5,17,44,non-restrictive,The baker will inspect the dough,3,10,0,,,,,,,,,,,,0,dough,
subject-5,18,31,restrictive,The woman will open the bottle,2,12,1,0.4992,0.0269,208.0,elsewhere,False,False,,,,,,1,bottle,elsewhere
subject-5,19,6,non-restrictive,The housewife will  wash the mushrooms,1,13,0,,,,,,,,,,,,0,mushrooms,
subject-5,20,32,non-restrictive,The woman will carry the beer,3,15,0,,,,,,,,,,,,0,beer,
subject-5,21,18,non-restrictive,The boy will touch the football,1,8,0,,,,,,,,,,,,0,football,
subject-5,22,1,restrictive,The woman will drink the wine,4,11,1,0.3569,0.0538,374.9,pos3,False,True,0.0,0.0,1.0,0.0,0.0,1,wine,lipstick
subject-5,23,26,non-restrictive,The woman will blow grab the candle,1,9,0,,,,,,,,,,,,0,candle,
subject-5,24,45,restrictive,The chef will grate the carrot,4,11,0,,,,,,,,,,,,0,carrot,
subject-5,25,47,restrictive,The girl will vacuum the carpet,2,16,0,,,,,,,,,,,,0,carpet,
subject-5,26,10,non-restrictive,The man will wipe the washing machine,1,15,1,0.9473,0.0336,246.2,pos3,False,True,0.0,0.0,1.0,0.0,0.0,1,washing-machine,dog
subject-5,27,9,restrictive,The woman will read the book,4,16,1,0.2015,0.0334,273.4,pos2,False,True,0.0,1.0,0.0,0.0,0.0,1,book,cup
subject-5,28,19,restrictive,The chef will slice the bread,2,7,0,,,,,,,,,,,,0,bread,
subject-5,29,8,non-restrictive,The woman will dust the piano,3,13,1,0.3238,0.074,222.9,pos1,False,True,1.0,0.0,0.0,0.0,0.0,1,piano,telephone
subject-5,30,37,restrictive,The boy will peel the banana,4,11,0,,,,,,,,,,,,0,banana,
subject-5,31,41,restrictive,The boy will squeeze the orange,4,13,0,,,,,,,,,,,,0,orange,
